module_id,module_order,module_title,assessment_id,type,title,grade_scheme,max_attempts,is_required,expected_artifact_or_quiz,competencies,completion_rule,progress_event,competencies_text
M01,1,Введение: зачем преподавателю ИИ,M01-A01,assignment,Личная карта задач для применения ИИ,rubric_pass_fail,2,True,Документ или текстовая форма с перечнем 5-7 регулярных задач и примером улучшения одного запроса,['ПК-ИИ-1'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-1
M01,1,Введение: зачем преподавателю ИИ,M01-Q01,quiz,Концептуальный тест модуля 1,auto_points,2,True,"15 вопросов: назначение ИИ в преподавательской работе, ответственность человека, границы применения",['ПК-ИИ-1'],score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-1
M02,2,Как устроены нейронные сети на понятном уровне,M02-A01,assignment,Пояснение принципа работы простой нейросети,rubric_pass_fail,2,True,"Текст, схема или короткое видео с объяснением нейросети и примером из собственной дисциплины",['ПК-ИИ-1'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-1
M02,2,Как устроены нейронные сети на понятном уровне,M02-Q01,quiz,Тест по основам нейросетевых моделей,auto_points,2,True,"20 вопросов: входы, веса, обучение, вероятностная ошибка, границы объяснения",['ПК-ИИ-1'],score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-1
M03,3,Большие языковые модели и генеративный ИИ,M03-A01,assignment,Разметка и проверка сгенерированного ответа,rubric_pass_fail,2,True,"Таблица проверяемых утверждений, способов проверки, исправлений и вывода о пригодности текста",['ПК-ИИ-3'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-3
M03,3,Большие языковые модели и генеративный ИИ,M03-Q01,quiz,Тест на распознавание галлюцинаций и проверяемых утверждений,auto_points,2,True,"10-15 ситуаций и сгенерированных утверждений; отметить, что требует проверки и почему","['ПК-ИИ-1', 'ПК-ИИ-3']",score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-1; ПК-ИИ-3
M04,4,Постановка запросов как профессиональный навык,M04-A01,assignment,Личная библиотека запросов преподавателя,rubric_pass_fail,2,True,10-15 запросов под регулярные задачи и 3 журнала улучшения слабого запроса,['ПК-ИИ-2'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-2
M04,4,Постановка запросов как профессиональный навык,M04-Q01,quiz,Практический тест по постановке запросов,ai_assisted_rubric,2,True,"5 профессиональных задач: написать запрос, указать критерии и обосновать структуру",['ПК-ИИ-2'],score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-2
M05,5,ИИ в учебной и методической работе,M05-A01,assignment,Фрагмент занятия с использованием ИИ,rubric_pass_fail,2,True,Фрагмент занятия на 90 минут с журналом использования ИИ и правками преподавателя,['ПК-ИИ-4'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-4
M05,5,ИИ в учебной и методической работе,M05-A02,assignment,Задание с обязательным использованием ИИ студентами,rubric_pass_fail,2,True,"Формулировка задания, процесс выполнения, журнал запросов, критерии оценивания и защитные механизмы",['ПК-ИИ-5'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-5
M05,5,ИИ в учебной и методической работе,M05-Q01,quiz,Тест по типам учебных задач и AI-mandatory заданиям,auto_points,2,True,"Классификация заданий: обязательное использование ИИ, допустимое использование ИИ, запрет использования ИИ","['ПК-ИИ-4', 'ПК-ИИ-5']",score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-4; ПК-ИИ-5
M06,6,ИИ в научной и аналитической работе,M06-A01,assignment,Структура научного или аналитического текста,rubric_pass_fail,2,True,"План текста с декларацией использования ИИ и перечнем источников, требующих ручной проверки",['ПК-ИИ-6'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-6
M06,6,ИИ в научной и аналитической работе,M06-Q01,quiz,Сценарный тест по допустимому применению ИИ в научной работе,auto_points,2,True,8-10 ситуаций: выбрать допустимый способ применения ИИ и обосновать ограничение,"['ПК-ИИ-6', 'ПК-ИИ-3']",score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-6; ПК-ИИ-3
M07,7,"Документы, коммуникация и повседневная профессиональная рутина",M07-A01,assignment,Переработанный рабочий документ и шаблон запроса,rubric_pass_fail,2,True,"Версия документа до/после, комментарий о принятых и отклоненных правках, шаблон запроса",['ПК-ИИ-7'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-7
M07,7,"Документы, коммуникация и повседневная профессиональная рутина",M07-Q01,quiz,Практический тест по офисным и коммуникационным задачам,auto_points,2,True,"Выбор инструмента, формата запроса и ограничений для типовых административных задач","['ПК-ИИ-7', 'ПК-ИИ-2']",score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-7; ПК-ИИ-2
M08,8,"Риски, этика, безопасность и итоговый проект",M08-A01,assignment,Чек-лист безопасного применения ИИ,rubric_pass_fail,2,True,Чек-лист и анализ 3-5 преподавательских ситуаций с решением о допустимости применения ИИ,['ПК-ИИ-9'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-9
M08,8,"Риски, этика, безопасность и итоговый проект",M08-Q01,quiz,Сценарный тест по безопасности и правовым границам,auto_points,2,True,10-15 ситуаций: выбор допустимой реакции и краткое обоснование,['ПК-ИИ-9'],score_percent >= 70,AssessmentAttempt.graded_passed,ПК-ИИ-9
M08,8,"Риски, этика, безопасность и итоговый проект",M08-F01,final_project,Итоговый проект интеграции ИИ в дисциплину или РПМ,final_project_rubric,2,True,"Словарь терминологии, 2-3 задания с обязательным использованием ИИ, план занятия, предложение по обновлению РПМ, критерии, риски, рефлексия",['ПК-ИИ-10'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-10
M08,8,"Риски, этика, безопасность и итоговый проект",M08-D01,defense,Асинхронная видео-защита итогового проекта,manual_pass_fail,1,True,Видео 10-15 минут и ответы на 3-5 вопросов преподавателя курса,['ПК-ИИ-10'],accepted_submission,AssessmentSubmission.accepted,ПК-ИИ-10
